Name,Affiliation,Google Scholar Profile,ORCID Profile,Research Gate Profile,Research Interests/Focus,Taxonomy Tags
Kelli Rogers,University of Texas at Arlington,,,https://www.researchgate.net/profile/Kelli-Rogers-5,"Advancing racial equity in public and higher education; social work practice in schools; intersection among child welfare, juvenile justice, and education; disproportionality and disparities in child welfare and juvenile justice systems; social policy for children and families; culturally responsive practice; and community-based social work","Diversity Equity and Inclusion (DEI), Education, Social Work practice, School Social Work, Child welfare, Disparities, Juvenile justice, Policy, Children and adolescents, Cultural competence, Community based"
Sana Malik,Stony Brook University,https://scholar.google.com/citations?hl=en&user=isTzOiQAAAAJ,https://orcid.org/0000-0003-0160-7798,https://www.researchgate.net/scientific-contributions/Sana-Malik-2165259914,"Social determinants of health, international public health, health systems strengthening, health disparities among minority, immigrant, and refugee populations, health education and behavior, culturally and religiously tailored programming, maternal and child health and welfare, program design and evaluation.","Social determinants, Health, Global perspectives, Public health, Systems, Disparities, Immigration, Refugees, Cultural competence, Faith and spirituality, Child welfare, Program evaluation"
Christiana I Awosan,Iona College,https://scholar.google.com/citations?hl=en&user=hZoG3CYAAAAJ,https://orcid.org/0000-0003-3930-5058,https://www.researchgate.net/profile/Christiana-Awosan,"diversity, inclusion, and social justice ","Diversity Equity and Inclusion (DEI), Social justice"
Juan Rios,Seton Hall University,https://scholar.google.com/citations?hl=en&user=3gkjgoIAAAAJ,https://orcid.org/0000-0003-2801-8221,https://www.researchgate.net/profile/Juan-Rios-34,"Clinical phenomenological field narratives and self-reflexivity, Chinese philosophy on modern philanthropy, mindfulness intervention with immigrant and first generation children, and cultural intersection among men and masculinity. He recently published several articles on mindfulness, emotion and behavior in Latin and Chinese students.","Immigration, Children and adolescents, Mental and behavioral health, Latinx, Asian Americans and Pacific Islander (AAPI)"
Cathy Scott,University of Tennessee Chattanooga,,https://orcid.org/0000-0003-2671-2519,https://www.researchgate.net/profile/Cathy-Scott,"Aging, alzheimer's disease, caregiver burden, grandparents raising grandchildren ","Aging, Dementia, Families and Family Dynamics"
Junrong Shi,University of Tennessee Chattanooga,https://scholar.google.com/citations?user=16f966QAAAAJ&hl=en&inst=9897619243961157265&oi=ao,,https://www.researchgate.net/profile/Junrong-Shi-3,"Aging, health disparity, caregiver support, older asian immigrants","Aging, Health, Disparities, Immigration, Asian Americans and Pacific Islander (AAPI)"
Soleman Abu-Bader,Howard University ,https://scholar.google.com/citations?hl=en&user=Gqxn2lMAAAAJ&inst=9897619243961157265,https://orcid.org/0000-0001-7818-1313,,"Mental health, well-being, immigrants, Arab and Muslim Americans","Mental and behavioral health, Immigration, Muslim and Arab Communities"
Robert L. Cosby ,Howard University ,https://scholar.google.com/citations?hl=en&user=JmaC9oUAAAAJ&inst=9897619243961157265,,,"Social isolation and older persons, racism, HIV-AIDs, Spirtuality and health care disparities and inequalities","Aging, Discrimination, HIV or AIDS, Faith and spirituality, Healthcare, Disparities, Bias"
JaNeen Cross,Howard University ,https://scholar.google.com/citations?hl=en&user=YYK4VvAAAAAJ&inst=9897619243961157265,https://orcid.org/0000-0002-1219-4872,https://www.researchgate.net/profile/Janeen-Cross,"Maternal and child health disparities, mental health, and health policy ","Children and adolescents, Health, Disparities, Mental and behavioral health, Policy"
Janice Berry Edwards,Howard University ,,https://orcid.org/0000-0002-1201-1386,,"Clinical social work practice, social work education ","Social Work practice, Social Work education"
Ruby M. Gourdine,Howard University ,,https://orcid.org/0000-0002-2404-9808,https://www.researchgate.net/profile/Ruby-Gourdine,"Child welfare, teenage pregnancy, transracial adoption, females and violence, school social work, and disability content in social work curricula","Child welfare, Children and adolescents, Adoption, Gender based violence, School Social Work, Pedagogy, Disability"
Aisha Bonner,Howard University ,,,https://www.researchgate.net/profile/Aisha-Bonner,"Health care disparities for older minority adults, poverty, an aging population’s impact on public policy, and technology utilization with aging populations","Healthcare, Disparities, Health, Aging, Vulnerable populations, Policy, Technology, Poverty"
Stephen Broyles,Howard University ,,,https://www.researchgate.net/profile/Stephen-Broyles,"Health disparities in minority populations, HIV/AIDS, infectious disease, substance abuse and mental health","Health, Disparities, Vulnerable populations, HIV or AIDS, Substance use, Mental and behavioral health"
Gloria Cain,Howard University ,,https://orcid.org/0000-0002-0124-9946,https://www.researchgate.net/profile/Gloria-Cain,"Ethnic factors of alcohol and substance misuse among African Americans, efficiency of screening and brief intervention in community and health care settings","Race and ethnicity, Substance use, Black or African American, Community based, Healthcare"
Cynthia Harris,Howard University ,,,https://www.researchgate.net/profile/Cynthia-Harris-4,"Field education, prenatal care, grief, foster youth, disability ","Field education, Children and adolescents, Child welfare, Grief and loss, Disability"
Altaf Husain,Howard University ,https://scholar.google.com/citations?hl=en&user=WrzB--8AAAAJ,https://orcid.org/0000-0002-9219-6404,https://www.researchgate.net/profile/Altaf-Husain,"Homelessness and natural and human-caused disasters, as well as with immigrants and refugees","Homelessness, Environmental issues, Immigration, Refugees"
Meirong Liu,Howard University ,https://scholar.google.com/citations?hl=en&user=PLnc5CoAAAAJ,https://orcid.org/0000-0001-6852-8889,https://www.researchgate.net/profile/Meirong-Liu,"Policy, development studies, poverty analysis, early childhood education","Policy, International issues, Poverty, Economic issues, Children and adolescents, Education"
Kendall Moody,Howard University ,https://scholar.google.com/citations?hl=en&user=YwF3-zUAAAAJ,https://orcid.org/0000-0002-4833-3037,https://www.researchgate.net/profile/Kendall-Moody,"Medical social work, sickle cell disease, biopsychosocial variables, chronic illness","Medical Social Work, Health, Healthcare, Biopsychosocial approach"
Cudore Snell,Howard University ,profile not found,https://orcid.org/0000-0003-0742-6613,https://www.researchgate.net/profile/Cudore-Snell-3,"African American parenthood, fetal alcohol spectrum disorder, adolescent substance abuse","Black or African American, Families and Family Dynamics, Children and adolescents, Substance use"
Rona Carter,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=DOBs-SIAAAAJ,https://orcid.org/0000-0002-1967-2144,https://www.researchgate.net/profile/Rona-Carter,"Racial and cultural contextual factors that influence pubertal processes. Social-cultural contextual factors and wider social systems that promote or hinder adjustment. Measurement development and evaluation as it relates to race, ethnicity, and gender. She draws upon both secondary data analysis and original data collection. Her research has importance for understanding the relational and social contexts of girls’ development and health outcomes such as how girls negotiate aspects of their interpersonal relationships (family, peers, teachers, and romantic partners) when making their sexual decisions. Guiding her research are the central tenets of social development theory which emphasize that individual development occurs within a social and cultural context, which itself develops, and furthermore, perpetually interacts with the developing individual.","Race and ethnicity, Culture, Cultural competence, Children and adolescents, Systems, Economic issues, Human development, Race and ethnicity, Health, Gender and sexuality, "
Edward C. Chang,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=Jcy5PMMAAAAJ,,,"Predictors of psychological and physical adjustment, including optimism and pessimism, perfectionism, and social problem solving. I am also interested in understanding how cultural and racial factors influence the function of these variables on outcome, and in examining stress and coping and diathesis-stress models of adjustment.","Mental and behavioral health, Risk and protective factors, Resilience, Culture, Race and ethnicity, Stress and coping"
Linda M. Chatters,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=5YnTDTkAAAAJ,https://orcid.org/0000-0002-4678-2541,https://www.researchgate.net/profile/Linda-Chatters,"Religious involvement and well-being, social support networks of adult/elderly African Americans, intergenerational family relations, families and health.","Faith and spirituality, Wellbeing, Social theory, Aging, Black or African American, Families and Family Dynamics, Health"
David Córdova,"University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=On85QD0AAAAJ,,https://www.researchgate.net/profile/Linda-Chatters,"Drug abuse, HIV/STI, prevention, community-based participatory research, adolescents, health disparities (latinx)","Substance use, HIV or AIDS, Community based, Children and adolescents, Health, Disparities, Latinx"
